Collection,Parent Object,Child Object,Property,Value,Data File,Units,Band,Date From,Date To,Timeslice,Action,Expression,Scenario,Memo,Category,Tech_simple
Generators,System,NEW_Nuclear_BAL,WACC,10,,%,1,,,,=,,,,Agg_BAL,Nuclear
Generators,System,NEW_Nuclear_BAL,Economic Life,30,EconomicLife,yr,1,,,,=,,EconomicLife,,Agg_BAL,Nuclear
Generators,System,NEW_Nuclear_BAL,Max Units Built,0,MaxUnitsBuilt,-,1,,,,=,,GxExp,,Agg_BAL,Nuclear
Generators,System,NEW_Nuclear_BAL,z,0,ForcedOutageRate,-,1,,,,=,,ForcedOutages,,Agg_BAL,Nuclear
Generators,System,NEW_Nuclear_BAL,z,0,MaintenanceRate,-,2,,,,=,,Maintenance,,Agg_BAL,Nuclear
Generators,System,NEW_Coal_Subcritical_BAL,Unit Commitment Optimality,Linear,,-,1,,,,=,,LinearRelaxation,,Agg_BAL,Coal
Generators,System,NEW_Coal_Subcritical_BAL,Units,0,Units,-,1,,,,=,,,,Agg_BAL,Coal
Generators,System,NEW_Coal_Subcritical_BAL,Max Capacity,0,MaxCapacity,MW,1,,,,=,,,,Agg_BAL,Coal
Generators,System,NEW_Coal_Subcritical_BAL,Min Stable Level,0,MinStableLevel,MW,1,,,,=,,MinStableLevels,,Agg_BAL,Coal
Generators,System,NEW_Coal_Subcritical_BAL,Min Stable Level,0,MinStableLevelFlex,MW,1,,,,=,,FlexibleMSL,,Agg_BAL,Coal
Generators,System,NEW_Coal_Subcritical_BAL,Heat Rate,0,HeatRate,GJ/MWh,1,,,,=,,,,Agg_BAL,Coal
Generators,System,NEW_Coal_Subcritical_BAL,VO&M Charge,0,VOMCharge,$/MWh,1,,,,=,,,,Agg_BAL,Coal
Generators,System,NEW_Coal_Subcritical_BAL,FO&M Charge,0,FOMCharge,$/kW/yr,1,,,,=,,FOM_Charge,,Agg_BAL,Coal
Generators,System,NEW_Coal_Subcritical_BAL,Start Cost,0,StartCost,$,1,,,,=,,StartCostsSingle,,Agg_BAL,Coal
Generators,System,NEW_Coal_Subcritical_BAL,Start Cost,0,StartCost,$,3,,,,=,,StartCostsThreeband,,Agg_BAL,Coal
Generators,System,NEW_Coal_Subcritical_BAL,Start Cost Time,0,StartCostTime,h,3,,,,=,,StartCostsThreeband,,Agg_BAL,Coal
Generators,System,NEW_Coal_Subcritical_BAL,Run Up Rate,0,RunUpRate,MW/min,3,,,,=,,RunUpRates,,Agg_BAL,Coal
Generators,System,NEW_Coal_Subcritical_BAL,Rating Factor,100,DeratedMaintenance,%,1,,,,=,,Derated_maintenance,,Agg_BAL,Coal
Generators,System,NEW_Coal_Subcritical_BAL,Min Up Time,0,MinUpTime,h,1,,,,=,,MinUpAndDownTime,,Agg_BAL,Coal
Generators,System,NEW_Coal_Subcritical_BAL,Min Down Time,0,MinDownTime,h,1,,,,=,,MinUpAndDownTime,,Agg_BAL,Coal
Generators,System,NEW_Coal_Subcritical_BAL,Max Ramp Up,0,MaxRamp,MW/min,1,,,,=,,RampRates,,Agg_BAL,Coal
Generators,System,NEW_Coal_Subcritical_BAL,Max Ramp Up,0,MaxRampFlex,MW/min,1,,,,=,,FlexibleRR,,Agg_BAL,Coal
Generators,System,NEW_Coal_Subcritical_BAL,Ramp Up Charge,0,RampUpCharge,$/MW,1,,,,=,,RampCharges,,Agg_BAL,Coal
Generators,System,NEW_Coal_Subcritical_BAL,Max Ramp Down,0,MaxRamp,MW/min,1,,,,=,,RampRates,,Agg_BAL,Coal
Generators,System,NEW_Coal_Subcritical_BAL,Max Ramp Down,0,MaxRampFlex,MW/min,1,,,,=,,FlexibleRR,,Agg_BAL,Coal
Generators,System,NEW_Coal_Subcritical_BAL,Ramp Down Charge,0,RampDownCharge,$/MW,1,,,,=,,RampCharges,,Agg_BAL,Coal
Generators,System,NEW_Coal_Subcritical_BAL,Aux Incr,0,AuxLosses,%,1,,,,=,,AuxLosses,,Agg_BAL,Coal
Generators,System,NEW_Coal_Subcritical_BAL,Min Capacity Factor Month,60,,%,1,,,,=,,MinCF_Coal_NewOnly_NZE,,Agg_BAL,Coal
Generators,System,NEW_Coal_Subcritical_BAL,Min Capacity Factor Month,60,,%,1,,,,=,,MinCF_Coal_NZE2030,,Agg_BAL,Coal
Generators,System,NEW_Coal_Subcritical_BAL,Min Capacity Factor Month,65,,%,1,,,,=,,MinCF_Coal_NZE2030_65pc,,Agg_BAL,Coal
Generators,System,NEW_Coal_Subcritical_BAL,Min Capacity Factor Month,70,,%,1,,,,=,,MinCF_Coal_NZE2030_70pc,,Agg_BAL,Coal
Generators,System,NEW_Coal_Subcritical_BAL,Forced Outage Rate,0,ForcedOutageRate,%,1,,,,=,,ForcedOutages,,Agg_BAL,Coal
Generators,System,NEW_Coal_Subcritical_BAL,Forced Outage Rate,0,ForcedOutageRate,%,2,,,,=,,ForcedOutages,,Agg_BAL,Coal
Generators,System,NEW_Coal_Subcritical_BAL,Maintenance Rate,0,MaintenanceRate,%,3,,,,=,,Maintenance,,Agg_BAL,Coal
Generators,System,NEW_Coal_Subcritical_BAL,Outage Rating,0,OutageRating,MW,2,,,,=,,ForcedOutages,,Agg_BAL,Coal
Generators,System,NEW_Coal_Subcritical_BAL,Mean Time to Repair,24,MeanTimetoRepair,h,1,,,,=,,,,Agg_BAL,Coal
Generators,System,NEW_Coal_Subcritical_BAL,Mean Time to Repair,24,MeanTimetoRepair,h,2,,,,=,,,,Agg_BAL,Coal
Generators,System,NEW_Coal_Subcritical_BAL,Mean Time to Repair,24,MeanTimetoRepair,h,3,,,,=,,,,Agg_BAL,Coal
Generators,System,NEW_Coal_Subcritical_BAL,Build Cost,0,ExpCost,$/kW,1,,,,=,,ExpCost,,Agg_BAL,Coal
Generators,System,NEW_Coal_Subcritical_BAL,WACC,10,,%,1,,,,=,,,,Agg_BAL,Coal
Generators,System,NEW_Coal_Subcritical_BAL,Economic Life,30,EconomicLife,yr,1,,,,=,,EconomicLife,,Agg_BAL,Coal
Generators,System,NEW_Coal_Subcritical_BAL,Max Units Built,0,MaxUnitsBuilt,-,1,,,,=,,GxExp,,Agg_BAL,Coal
Generators,System,NEW_Coal_Subcritical_BAL,z,0,ForcedOutageRate,-,1,,,,=,,ForcedOutages,,Agg_BAL,Coal
Generators,System,NEW_Coal_Subcritical_BAL,z,0,MaintenanceRate,-,2,,,,=,,Maintenance,,Agg_BAL,Coal
Generators,System,NEW_Gas_CCGT_BAL,Unit Commitment Optimality,Linear,,-,1,,,,=,,Linear_Gas_Etc,,Agg_BAL,Gas
Generators,System,NEW_Gas_CCGT_BAL,Units,0,Units,-,1,,,,=,,,,Agg_BAL,Gas
Generators,System,NEW_Gas_CCGT_BAL,Max Capacity,0,MaxCapacity,MW,1,,,,=,,,,Agg_BAL,Gas
Generators,System,NEW_Gas_CCGT_BAL,Min Stable Level,0,MinStableLevel,MW,1,,,,=,,MinStableLevels,,Agg_BAL,Gas
Generators,System,NEW_Gas_CCGT_BAL,Min Stable Level,0,MinStableLevelFlex,MW,1,,,,=,,FlexibleMSL,,Agg_BAL,Gas
Generators,System,NEW_Gas_CCGT_BAL,Heat Rate,0,HeatRate,GJ/MWh,1,,,,=,,,,Agg_BAL,Gas
Generators,System,NEW_Gas_CCGT_BAL,VO&M Charge,0,VOMCharge,$/MWh,1,,,,=,,,,Agg_BAL,Gas
Generators,System,NEW_Gas_CCGT_BAL,FO&M Charge,0,FOMCharge,$/kW/yr,1,,,,=,,FOM_Charge,,Agg_BAL,Gas
Generators,System,NEW_Gas_CCGT_BAL,Start Cost,0,StartCost,$,1,,,,=,,StartCostsSingle,,Agg_BAL,Gas
Generators,System,NEW_Gas_CCGT_BAL,Start Cost,0,StartCost,$,3,,,,=,,StartCostsThreeband,,Agg_BAL,Gas
Generators,System,NEW_Gas_CCGT_BAL,Start Cost Time,0,StartCostTime,h,3,,,,=,,StartCostsThreeband,,Agg_BAL,Gas
Generators,System,NEW_Gas_CCGT_BAL,Run Up Rate,0,RunUpRate,MW/min,3,,,,=,,RunUpRates,,Agg_BAL,Gas
Generators,System,NEW_Gas_CCGT_BAL,Rating Factor,100,DeratedMaintenance,%,1,,,,=,,Derated_maintenance,,Agg_BAL,Gas
Generators,System,NEW_Gas_CCGT_BAL,Min Up Time,0,MinUpTime,h,1,,,,=,,MinUpAndDownTime,,Agg_BAL,Gas
Generators,System,NEW_Gas_CCGT_BAL,Min Down Time,0,MinDownTime,h,1,,,,=,,MinUpAndDownTime,,Agg_BAL,Gas
Generators,System,NEW_Gas_CCGT_BAL,Max Ramp Up,0,MaxRamp,MW/min,1,,,,=,,RampRates,,Agg_BAL,Gas
Generators,System,NEW_Gas_CCGT_BAL,Max Ramp Up,0,MaxRampFlex,MW/min,1,,,,=,,FlexibleRR,,Agg_BAL,Gas
Generators,System,NEW_Gas_CCGT_BAL,Ramp Up Charge,0,RampUpCharge,$/MW,1,,,,=,,RampCharges,,Agg_BAL,Gas
Generators,System,NEW_Gas_CCGT_BAL,Max Ramp Down,0,MaxRamp,MW/min,1,,,,=,,RampRates,,Agg_BAL,Gas
Generators,System,NEW_Gas_CCGT_BAL,Max Ramp Down,0,MaxRampFlex,MW/min,1,,,,=,,FlexibleRR,,Agg_BAL,Gas
Generators,System,NEW_Gas_CCGT_BAL,Ramp Down Charge,0,RampDownCharge,$/MW,1,,,,=,,RampCharges,,Agg_BAL,Gas
Generators,System,NEW_Gas_CCGT_BAL,Aux Incr,0,AuxLosses,%,1,,,,=,,AuxLosses,,Agg_BAL,Gas
Generators,System,NEW_Gas_CCGT_BAL,Forced Outage Rate,0,ForcedOutageRate,%,1,,,,=,,ForcedOutages,,Agg_BAL,Gas
Generators,System,NEW_Gas_CCGT_BAL,Forced Outage Rate,0,ForcedOutageRate,%,2,,,,=,,ForcedOutages,,Agg_BAL,Gas
Generators,System,NEW_Gas_CCGT_BAL,Maintenance Rate,0,MaintenanceRate,%,3,,,,=,,Maintenance,,Agg_BAL,Gas
Generators,System,NEW_Gas_CCGT_BAL,Outage Rating,0,OutageRating,MW,2,,,,=,,ForcedOutages,,Agg_BAL,Gas
Generators,System,NEW_Gas_CCGT_BAL,Mean Time to Repair,24,MeanTimetoRepair,h,1,,,,=,,,,Agg_BAL,Gas
Generators,System,NEW_Gas_CCGT_BAL,Mean Time to Repair,24,MeanTimetoRepair,h,2,,,,=,,,,Agg_BAL,Gas
Generators,System,NEW_Gas_CCGT_BAL,Mean Time to Repair,24,MeanTimetoRepair,h,3,,,,=,,,,Agg_BAL,Gas
Generators,System,NEW_Gas_CCGT_BAL,Build Cost,0,ExpCost,$/kW,1,,,,=,,ExpCost,,Agg_BAL,Gas
Generators,System,NEW_Gas_CCGT_BAL,WACC,10,,%,1,,,,=,,,,Agg_BAL,Gas
Generators,System,NEW_Gas_CCGT_BAL,Economic Life,30,EconomicLife,yr,1,,,,=,,EconomicLife,,Agg_BAL,Gas
Generators,System,NEW_Gas_CCGT_BAL,Max Units Built,0,MaxUnitsBuilt,-,1,,,,=,,GxExp,,Agg_BAL,Gas
Generators,System,NEW_Gas_CCGT_BAL,z,0,ForcedOutageRate,-,1,,,,=,,ForcedOutages,,Agg_BAL,Gas
Generators,System,NEW_Gas_CCGT_BAL,z,0,MaintenanceRate,-,2,,,,=,,Maintenance,,Agg_BAL,Gas
Generators,System,Solar_PV_Utility_BAL,Unit Commitment Optimality,Linear,,-,1,,,,=,,Linear_Gas_Etc,,Agg_BAL,Solar
Generators,System,Solar_PV_Utility_BAL,Units,0,Units,-,1,,,,=,,,,Agg_BAL,Solar
Generators,System,Solar_PV_Utility_BAL,Max Capacity,0,MaxCapacity,MW,1,,,,=,,,,Agg_BAL,Solar
Generators,System,Solar_PV_Utility_BAL,VO&M Charge,0,VOMCharge,$/MWh,1,,,,=,,,,Agg_BAL,Solar
Generators,System,Solar_PV_Utility_BAL,FO&M Charge,0,FOMCharge,$/kW/yr,1,,,,=,,FOM_Charge,,Agg_BAL,Solar
Generators,System,Solar_PV_Utility_BAL,Rating Factor,100,VRE_RatingFactor_2010,%,1,,,,=,,ClimYr_2010,,Agg_BAL,Solar
Generators,System,Solar_PV_Utility_BAL,Rating Factor,100,VRE_RatingFactor_2011,%,1,,,,=,,ClimYr_2011,,Agg_BAL,Solar
Generators,System,Solar_PV_Utility_BAL,Rating Factor,100,VRE_RatingFactor_2015,%,1,,,,=,,ClimYr_2015,,Agg_BAL,Solar
Generators,System,Solar_PV_Utility_BAL,Rating Factor,100,VRE_RatingFactor_2018,%,1,,,,=,,ClimYr_2018,,Agg_BAL,Solar
Generators,System,Solar_PV_Utility_BAL,Rating Factor,100,VRE_RatingFactor_2019,%,1,,,,=,,ClimYr_2019,,Agg_BAL,Solar
Generators,System,Solar_PV_Utility_BAL,Rating Factor,100,VRE_RatingFactor_2019,%,1,,,,=,,ClimYr_2030,,Agg_BAL,Solar
Generators,System,Solar_PV_Utility_BAL,Rating Factor,100,VRE_RatingFactor_2019,%,1,,,,=,,ClimYr_2050,,Agg_BAL,Solar
Generators,System,Solar_PV_Utility_BAL,Aux Incr,0,AuxLosses,%,1,,,,=,,AuxLosses,,Agg_BAL,Solar
Generators,System,Solar_PV_Utility_BAL,Firm Capacity,0,MaxCapacity,MW,1,,,,x,FirmCapacity_Solar,,,Agg_BAL,Solar
Generators,System,Solar_PV_Utility_BAL,z,0,VRE_RatingFactor_2019,-,1,,,,=,,ClimYr_2019,,Agg_BAL,Solar
Generators,System,Solar_PV_Utility_BAL,z,0,VRE_RatingFactor_2019,-,1,,,,=,,ClimYr_2030,,Agg_BAL,Solar
Generators,System,Solar_PV_Utility_BAL,z,0,VRE_RatingFactor_2019,-,1,,,,=,,ClimYr_2050,,Agg_BAL,Solar
Generators,System,Wind_Onshore_BAL,Unit Commitment Optimality,Linear,,-,1,,,,=,,Linear_Gas_Etc,,Agg_BAL,Wind
Generators,System,Wind_Onshore_BAL,Units,0,Units,-,1,,,,=,,,,Agg_BAL,Wind
Generators,System,Wind_Onshore_BAL,Max Capacity,0,MaxCapacity,MW,1,,,,=,,,,Agg_BAL,Wind
Generators,System,Wind_Onshore_BAL,VO&M Charge,0,VOMCharge,$/MWh,1,,,,=,,,,Agg_BAL,Wind
Generators,System,Wind_Onshore_BAL,FO&M Charge,0,FOMCharge,$/kW/yr,1,,,,=,,FOM_Charge,,Agg_BAL,Wind
Generators,System,Wind_Onshore_BAL,Rating Factor,100,VRE_RatingFactor_2010,%,1,,,,=,,ClimYr_2010,,Agg_BAL,Wind
Generators,System,Wind_Onshore_BAL,Rating Factor,100,VRE_RatingFactor_2011,%,1,,,,=,,ClimYr_2011,,Agg_BAL,Wind
Generators,System,Wind_Onshore_BAL,Rating Factor,100,VRE_RatingFactor_2015,%,1,,,,=,,ClimYr_2015,,Agg_BAL,Wind
Generators,System,Wind_Onshore_BAL,Rating Factor,100,VRE_RatingFactor_2018,%,1,,,,=,,ClimYr_2018,,Agg_BAL,Wind
Generators,System,Wind_Onshore_BAL,Rating Factor,100,VRE_RatingFactor_2019,%,1,,,,=,,ClimYr_2019,,Agg_BAL,Wind
Generators,System,Wind_Onshore_BAL,Rating Factor,100,VRE_RatingFactor_2019,%,1,,,,=,,ClimYr_2030,,Agg_BAL,Wind
Generators,System,Wind_Onshore_BAL,Rating Factor,100,VRE_RatingFactor_2019,%,1,,,,=,,ClimYr_2050,,Agg_BAL,Wind
Generators,System,Wind_Onshore_BAL,Aux Incr,0,AuxLosses,%,1,,,,=,,AuxLosses,,Agg_BAL,Wind
Generators,System,Wind_Onshore_BAL,Firm Capacity,0,MaxCapacity,MW,1,,,,x,FirmCapacity_WindOnshore,,,Agg_BAL,Wind
Generators,System,Wind_Onshore_BAL,z,0,VRE_RatingFactor_2019,-,1,,,,=,,ClimYr_2019,,Agg_BAL,Wind
Generators,System,Wind_Onshore_BAL,z,0,VRE_RatingFactor_2019,-,1,,,,=,,ClimYr_2030,,Agg_BAL,Wind
Generators,System,Wind_Onshore_BAL,z,0,VRE_RatingFactor_2019,-,1,,,,=,,ClimYr_2050,,Agg_BAL,Wind
Generators,System,NEW_CHP_Coal_BAL,Unit Commitment Optimality,Linear,,-,1,,,,=,,LinearRelaxation,,Agg_BAL,CHP Coal
Generators,System,NEW_CHP_Coal_BAL,Units,0,Units,-,1,,,,=,,,,Agg_BAL,CHP Coal
Generators,System,NEW_CHP_Coal_BAL,Max Capacity,0,MaxCapacity,MW,1,,,,=,,,,Agg_BAL,CHP Coal
Generators,System,NEW_CHP_Coal_BAL,VO&M Charge,0,VOMCharge,$/MWh,1,,,,=,,,,Agg_BAL,CHP Coal
Generators,System,NEW_CHP_Coal_BAL,FO&M Charge,0,FOMCharge,$/kW/yr,1,,,,=,,FOM_Charge,,Agg_BAL,CHP Coal
Generators,System,NEW_CHP_Coal_BAL,Start Cost,0,StartCost,$,1,,,,=,,StartCostsSingle,,Agg_BAL,CHP Coal
Generators,System,NEW_CHP_Coal_BAL,Start Cost,0,StartCost,$,3,,,,=,,StartCostsThreeband,,Agg_BAL,CHP Coal
Generators,System,NEW_CHP_Coal_BAL,Start Cost Time,0,StartCostTime,h,3,,,,=,,StartCostsThreeband,,Agg_BAL,CHP Coal
Generators,System,NEW_CHP_Coal_BAL,Run Up Rate,0,RunUpRate,MW/min,3,,,,=,,RunUpRates,,Agg_BAL,CHP Coal
Generators,System,NEW_CHP_Coal_BAL,Rating Factor,100,RatingFactor,%,1,,,,=,,,,Agg_BAL,CHP Coal
Generators,System,NEW_CHP_Coal_BAL,Min Up Time,0,MinUpTime,h,1,,,,=,,MinUpAndDownTime,,Agg_BAL,CHP Coal
Generators,System,NEW_CHP_Coal_BAL,Min Down Time,0,MinDownTime,h,1,,,,=,,MinUpAndDownTime,,Agg_BAL,CHP Coal
Generators,System,NEW_CHP_Coal_BAL,Commit,0,Units,-,1,,,,=,,,,Agg_BAL,CHP Coal
Generators,System,NEW_CHP_Coal_BAL,Max Ramp Up,0,MaxRamp,MW/min,1,,,,=,,RampRates,,Agg_BAL,CHP Coal
Generators,System,NEW_CHP_Coal_BAL,Max Ramp Up,0,MaxRampFlex,MW/min,1,,,,=,,FlexibleRR,,Agg_BAL,CHP Coal
Generators,System,NEW_CHP_Coal_BAL,Ramp Up Charge,0,RampUpCharge,$/MW,1,,,,=,,RampCharges,,Agg_BAL,CHP Coal
Generators,System,NEW_CHP_Coal_BAL,Max Ramp Down,0,MaxRamp,MW/min,1,,,,=,,RampRates,,Agg_BAL,CHP Coal
Generators,System,NEW_CHP_Coal_BAL,Max Ramp Down,0,MaxRampFlex,MW/min,1,,,,=,,FlexibleRR,,Agg_BAL,CHP Coal
Generators,System,NEW_CHP_Coal_BAL,Ramp Down Charge,0,RampDownCharge,$/MW,1,,,,=,,RampCharges,,Agg_BAL,CHP Coal
Generators,System,NEW_CHP_Coal_BAL,Aux Incr,0,AuxLosses,%,1,,,,=,,AuxLosses,,Agg_BAL,CHP Coal
Generators,System,NEW_CHP_Coal_BAL,Min Capacity Factor Month,60,,%,1,,,,=,,MinCF_Coal_NewOnly_NZE,,Agg_BAL,CHP Coal
Generators,System,NEW_CHP_Coal_BAL,Min Capacity Factor Month,60,,%,1,,,,=,,MinCF_Coal_NZE2030,,Agg_BAL,CHP Coal
Generators,System,NEW_CHP_Coal_BAL,Min Capacity Factor Month,65,,%,1,,,,=,,MinCF_Coal_NZE2030_65pc,,Agg_BAL,CHP Coal
Generators,System,NEW_CHP_Coal_BAL,Min Capacity Factor Month,70,,%,1,,,,=,,MinCF_Coal_NZE2030_70pc,,Agg_BAL,CHP Coal
Generators,System,NEW_CHP_Gas_BAL,Unit Commitment Optimality,Linear,,-,1,,,,=,,LinearRelaxation,,Agg_BAL,CHP Gas
Generators,System,NEW_CHP_Gas_BAL,Units,0,Units,-,1,,,,=,,,,Agg_BAL,CHP Gas
Generators,System,NEW_CHP_Gas_BAL,Max Capacity,0,MaxCapacity,MW,1,,,,=,,,,Agg_BAL,CHP Gas
Generators,System,NEW_CHP_Gas_BAL,VO&M Charge,0,VOMCharge,$/MWh,1,,,,=,,,,Agg_BAL,CHP Gas
Generators,System,NEW_CHP_Gas_BAL,FO&M Charge,0,FOMCharge,$/kW/yr,1,,,,=,,FOM_Charge,,Agg_BAL,CHP Gas
Generators,System,NEW_CHP_Gas_BAL,Start Cost,0,StartCost,$,1,,,,=,,StartCostsSingle,,Agg_BAL,CHP Gas
Generators,System,NEW_CHP_Gas_BAL,Start Cost,0,StartCost,$,3,,,,=,,StartCostsThreeband,,Agg_BAL,CHP Gas
Generators,System,NEW_CHP_Gas_BAL,Start Cost Time,0,StartCostTime,h,3,,,,=,,StartCostsThreeband,,Agg_BAL,CHP Gas
Generators,System,NEW_CHP_Gas_BAL,Run Up Rate,0,RunUpRate,MW/min,3,,,,=,,RunUpRates,,Agg_BAL,CHP Gas
Generators,System,NEW_CHP_Gas_BAL,Rating Factor,100,RatingFactor,%,1,,,,=,,,,Agg_BAL,CHP Gas
Generators,System,NEW_CHP_Gas_BAL,Min Up Time,0,MinUpTime,h,1,,,,=,,MinUpAndDownTime,,Agg_BAL,CHP Gas
Generators,System,NEW_CHP_Gas_BAL,Min Down Time,0,MinDownTime,h,1,,,,=,,MinUpAndDownTime,,Agg_BAL,CHP Gas
Generators,System,NEW_CHP_Gas_BAL,Commit,0,Units,-,1,,,,=,,,,Agg_BAL,CHP Gas
Generators,System,NEW_CHP_Gas_BAL,Max Ramp Up,0,MaxRamp,MW/min,1,,,,=,,RampRates,,Agg_BAL,CHP Gas
Generators,System,NEW_CHP_Gas_BAL,Max Ramp Up,0,MaxRampFlex,MW/min,1,,,,=,,FlexibleRR,,Agg_BAL,CHP Gas
Generators,System,NEW_CHP_Gas_BAL,Ramp Up Charge,0,RampUpCharge,$/MW,1,,,,=,,RampCharges,,Agg_BAL,CHP Gas
Generators,System,NEW_CHP_Gas_BAL,Max Ramp Down,0,MaxRamp,MW/min,1,,,,=,,RampRates,,Agg_BAL,CHP Gas
Generators,System,NEW_CHP_Gas_BAL,Max Ramp Down,0,MaxRampFlex,MW/min,1,,,,=,,FlexibleRR,,Agg_BAL,CHP Gas
Generators,System,NEW_CHP_Gas_BAL,Ramp Down Charge,0,RampDownCharge,$/MW,1,,,,=,,RampCharges,,Agg_BAL,CHP Gas
Generators,System,NEW_CHP_Gas_BAL,Aux Incr,0,AuxLosses,%,1,,,,=,,AuxLosses,,Agg_BAL,CHP Gas
Generators,System,Hydro_Reservoir_BAL,Unit Commitment Optimality,Linear,,-,1,,,,=,,Linear_Gas_Etc,,Agg_BAL,Hydro Reservoir
Generators,System,Hydro_Reservoir_BAL,Decomposition Method,Shadow Prices,,-,1,,,,=,,HydroDecom_Price,,Agg_BAL,Hydro Reservoir
Generators,System,Hydro_Reservoir_BAL,Units,0,Units,-,1,,,,=,,,,Agg_BAL,Hydro Reservoir
Generators,System,Hydro_Reservoir_BAL,Max Capacity,0,MaxCapacity,MW,1,,,,=,,,,Agg_BAL,Hydro Reservoir
Generators,System,Hydro_Reservoir_BAL,Min Stable Level,0,MinStableLevel,MW,1,,,,=,,MinStableLevels,,Agg_BAL,Hydro Reservoir
Generators,System,Hydro_Reservoir_BAL,Min Stable Level,0,MinStableLevelFlex,MW,1,,,,=,,FlexibleMSL,,Agg_BAL,Hydro Reservoir
