WEO techs,Originally present,Preferred name,PLEXOS technology,Gets capacity from,process,notes,Product,Flow,Product2,Flow2,Product3,Flow3,Classification,EfficiencyProductSource,EfficiencyFlowSource,merge
Coal IGCC 1,Y,Coal IGCC,Coal_IGCC,Coal and ammonia IGCC,split addition,,Coal and ammonia IGCC,Electrical capacity: electricity only plants,Bioenergy co-firing unabated,Electrical capacity: electricity only plants,,,Coal,Coal and ammonia IGCC,Electrical capacity: electricity only plants,1
Coal IGCC CCUS,,Coal IGCC CCUS,Coal_IGCC_CCS,Coal IGCC with CCUS,split addition,,Coal IGCC with CCUS,Electrical capacity: electricity only plants,Bioenergy co-firing with CCUS,Electrical capacity: electricity only plants,,,Coal,Coal IGCC with CCUS,Electrical capacity: electricity only plants,1
NEW CCS Coal Oxyfuel,Y,Coal Oxyfuel CCS,Coal_Oxyfuel_CCS,Coal oxyfuel with CCUS,split addition,,Coal oxyfuel with CCUS,Electrical capacity: electricity only plants,Bioenergy co-firing with CCUS,Electrical capacity: electricity only plants,,,Coal,Coal oxyfuel with CCUS,Electrical capacity: electricity only plants,1
Coal Subcritical Hard,,Coal Subcritical Hard,Coal_Subcritical_Hard,Coal and ammonia subcritical - split off lignite,split and split addition,,Coal and ammonia subcritical,Electrical capacity: electricity only plants,Bioenergy co-firing unabated,Electrical capacity: electricity only plants,,,Coal,Coal and ammonia subcritical,Electrical capacity: electricity only plants,1
Coal Subcritical Lignite,,Coal Subcritical Lignite,Coal_Subcritical_Lignite,need to split optionally,split and split addition,,Coal and ammonia subcritical,Electrical capacity: electricity only plants,Bioenergy co-firing unabated,Electrical capacity: electricity only plants,,,Coal,Coal and ammonia subcritical,Electrical capacity: electricity only plants,1
Coal Supercritical 1,Y,Coal Supercritical,Coal_Supercritical,Coal and ammonia supercritical,split addition,,Coal and ammonia supercritical,Electrical capacity: electricity only plants,Bioenergy co-firing unabated,Electrical capacity: electricity only plants,,,Coal,Coal and ammonia supercritical,Electrical capacity: electricity only plants,1
Coal Ultrasupercritical 1,Y,Coal Ultrasupercritical,Coal_Ultrasupercritical,Coal and ammonia ultrasupercritical,split addition,,Coal and ammonia ultrasupercritical,Electrical capacity: electricity only plants,Bioenergy co-firing unabated,Electrical capacity: electricity only plants,,,Coal,Coal and ammonia ultrasupercritical,Electrical capacity: electricity only plants,1
Fuel Cell 1,Y,Fuel cell,Fuel_cell,Natural gas fuel cell,double addition,,Natural gas fuel cell,Electrical capacity: electricity only plants,Biomethane fuel cell,Electrical capacity: electricity only plants,Hydrogen fuel cell,Electrical capacity: electricity only plants,Natural gas,Natural gas fuel cell,Electrical capacity: electricity only plants,1
Gas CCGT 1,Y,Gas CCGT,Gas_CCGT,Natural gas CCGT,double addition,,Natural gas CCGT,Electrical capacity: electricity only plants,Biomethane CCGT,Electrical capacity: electricity only plants,Hydrogen CCGT,Electrical capacity: electricity only plants,Natural gas,Natural gas CCGT,Electrical capacity: electricity only plants,1
NEW CCS Gas CCGT,Y,Gas CCGT CCS,Gas_CCGT_CCS,Natural gas CCGT CCUS,direct,,Natural gas: with CCUS,Electrical capacity: electricity only plants,,,,,Natural gas,Natural gas: with CCUS,Electrical capacity: electricity only plants,1
NEW CCS CHP Gas CCGT,Y,Gas CCGT CHP CCS,Gas_CCGT_CHP_CCS,Natural gas CHP CCUS,direct,,Natural gas: with CCUS,Electrical capacity: CHP plants,,,,,Natural gas,Natural gas: with CCUS,Electrical capacity: CHP plants,1
CHP Gas,Y,Gas CHP,Gas_CHP,Natural gas CHP,double addition,,Natural gas,Electrical capacity: CHP plants,Biomethane,Electrical capacity: CHP plants,Hydrogen,Electrical capacity: CHP plants,Natural gas,Natural gas,Electrical capacity: CHP plants,1
Gas GT 1,Y,Gas GT,Gas_GT,Natural gas GT,double addition,,Natural gas GT,Electrical capacity: electricity only plants,Biomethane GT,Electrical capacity: electricity only plants,Hydrogen GT,Electrical capacity: electricity only plants,Natural gas,Natural gas GT,Electrical capacity: electricity only plants,1
Gas Steam 1,Y,Gas Steam,Gas_Steam,Natural gas steam,double addition,,Natural gas steam,Electrical capacity: electricity only plants,Biomethane steam,Electrical capacity: electricity only plants,Hydrogen steam,Electrical capacity: electricity only plants,Natural gas,Natural gas steam,Electrical capacity: electricity only plants,1
Geothermal Elec,Y,Geothermal,Geothermal,Geothermal,direct,,Geothermal,Electrical capacity: electricity only plants,,,,,Other RE,Geothermal,Electrical capacity: electricity only plants,1
CHP Geothermal,Y,Geothermal CHP,Geothermal_CHP,Geothermal CHP,direct,,Geothermal,Electrical capacity: CHP plants,,,,,Other RE,Geothermal,Electrical capacity: CHP plants,1
Hydro PSH,Y,Hydro PSH,Hydro_PSH,Hydro,split,need to  be split,Hydro,Electrical capacity,,,,,Hydro,Hydro,Electrical capacity,1
Hydro Pumpback PSH,Y,Hydro Pumpback PSH,Hydro_Pumpback_PSH,Hydro,split,,Hydro,Electrical capacity,,,,,Hydro,Hydro,Electrical capacity,1
Hydro Reservoir,Y,Hydro Reservoir,Hydro_Reservoir,Hydro,split,,Hydro,Electrical capacity,,,,,Hydro,Hydro,Electrical capacity,1
Hydro RoR,Y,Hydro RoR,Hydro_RoR,Hydro,split,,Hydro,Electrical capacity,,,,,Hydro,Hydro,Electrical capacity,1
Hydro RoRpondage,Y,Hydro RoRpondage,Hydro_RoRpondage,Hydro,split,,Hydro,Electrical capacity,,,,,Hydro,Hydro,Electrical capacity,1
Tide And Wave,Y,Marine,Marine,Marine,direct,,Marine,Electrical capacity,,,,,Other RE,Marine,Electrical capacity,1
Nuclear,Y,Nuclear,Nuclear,Nuclear,direct,,Nuclear,Electrical capacity: electricity only plants,,,,,Nuclear,Nuclear,Electrical capacity: electricity only plants,1
CHP Nuclear,Y,Nuclear CHP,Nuclear_CHP,Nuclear CHP,direct,,Nuclear,Electrical capacity: CHP plants,,,,,Nuclear,Nuclear,Electrical capacity: CHP plants,1
CHP Oil,Y,Oil CHP,Oil_CHP,Oil CHP,direct,,Oil,Electrical capacity: CHP plants,,,,,Oil,Oil,Electrical capacity: CHP plants,1
Oil GT 1,Y,Oil GT,Oil_GT,Oil GT,direct,,Oil GT,Electrical capacity: electricity only plants,,,,,Oil,Oil GT,Electrical capacity: electricity only plants,1
Oil Steam 1,Y,Oil Steam,Oil_Steam,Oil steam,direct,,Oil steam,Electrical capacity: electricity only plants,,,,,Oil,Oil steam,Electrical capacity: electricity only plants,1
Solar CSP,Y,Solar CSP,Solar_CSP,Concentrating solar power,direct,,Concentrating solar power,Electrical capacity: electricity only plants,,,,,Other RE,Concentrating solar power,Electrical capacity: electricity only plants,1
CHP Solar,Y,Solar CSP CHP,Solar_CSP_CHP,Concentrating solar power CHP,direct,,Concentrating solar power,Electrical capacity: CHP plants,,,,,Other RE,Concentrating solar power,Electrical capacity: CHP plants,1
Solar PV Buildings,Y,Solar PV Buildings,Solar_PV_Buildings,Solar PV buildings,direct,,Solar PV: buildings,Electrical capacity,,,,,Solar PV,Solar PV: buildings,Electrical capacity,1
Solar PV Utility,Y,Solar PV Utility,Solar_PV_Utility,Solar PV utility,direct,,Solar PV: utility scale,Electrical capacity,,,,,Solar PV,Solar PV: utility scale,Electrical capacity,1
Waste to Energy,Y,Waste,Waste,Waste,direct,,Waste: non-renewable,Electrical capacity: electricity only plants,,,,,Waste,Waste: non-renewable,Electrical capacity: electricity only plants,1
Waste CHP,,Waste CHP,Waste_CHP,Waste CHP,direct,,Waste: non-renewable,Electrical capacity: CHP plants,,,,,Waste,Waste: non-renewable,Electrical capacity: CHP plants,1
Waste Renewable,,Waste Renewable,Waste_Renewable,Waste renewable,subtract,,Waste: renewable,Electrical capacity,Waste: renewable,Electrical capacity: CHP plants,,,Other RE,Waste: renewable,Electrical capacity,1
Waste Renewable CHP,,Waste Renewable CHP,Waste_Renewable_CHP,Waste renewable CHP,direct,,Waste: renewable,Electrical capacity: CHP plants,,,,,Other RE,Waste: renewable,Electrical capacity: CHP plants,1
Wind Offshore,Y,Wind Offshore,Wind_Offshore,Wind Offshore,direct,,Wind: offshore,Electrical capacity,,,,,Wind,Wind: offshore,Electrical capacity,1
Wind Onshore,Y,Wind Onshore,Wind_Onshore,Wind Onshore,direct,,Wind: onshore,Electrical capacity,,,,,Wind,Wind: onshore,Electrical capacity,1
