WEO techs,Conversion,mapped,,new plant list,
NEW CCS Coal IGCC,Coal_IGCC_CCS,Y,,,
NEW CCS Coal IGCC Retrofit,Coal_IGCC_CCS,Y,,,
NEW CCS Coal Oxyfuel,Coal_Oxyfuel_CCS,Y,,,
NEW CCS Coal Retrofit,Coal_CCS,Y,,,
NEW CCS Gas CCGT,Gas_CCGT_CCS,Y,,,
NEW CCS Gas CCGT CHP MaxMin,Gas_CCGT_CHP_CCS,Y,,,
NEW CCS Gas CCGT CHP MaxMin Retrofit,Gas_CCGT_CHP_CCS,Y,,,
NEW CCS Gas CCGT Retrofit,Gas_CCGT_CCS,Y,,,
NEW CHP BiomassandWaste,None,Y,,,
NEW CHP Coal,Coal_CHP,Y,,,
NEW CHP Gas,Gas_CHP,Y,,,
NEW CHP Geothermal,Geothermal_CHP,Y,,,
NEW CHP Nuclear,Nuclear_CHP,Y,,,
NEW CHP Oil,Oil_CHP,Y,,,
NEW CHP OtherSources,None,Y,,,
NEW CHP Solar,Solar_CSP_CHP,Y,,,
NEW Coal CHP MaxMin,Coal_CHP,Y,,,
NEW Coal IGCC,Coal_IGCC,Y,,,
NEW Coal Lignite,Coal_Subcritical_Lignite,Y,,,
NEW Coal Subcritical,Coal_Subcritical_Hard,Y,,,
NEW Coal Supercritical,Coal_Supercritical,Y,,,
NEW Coal Ultrasupercritical,Coal_Ultrasupercritical,Y,,,
NEW Fuel Cell,Fuel_cell,Y,,,
NEW Gas CCGT,Gas_CCGT,Y,,,
NEW Gas CHP MaxMin,Gas_CHP,Y,,,
NEW Gas GT,Gas_GT,Y,,,
NEW Gas Steam,Gas_Steam,Y,,,
NEW Nuclear,Nuclear,Y,,,
NEW Oil CHP MaxMin,Oil_CHP,Y,,,
NEW Oil GT,Oil_GT,Y,,,
NEW Oil Steam,Oil_Steam,Y,,,
Nuclear 1,Nuclear,Y,,,
Oil CHP MaxMin,Oil_CHP,Y,,,
Oil GT 1,Oil_GT,Y,,,
Oil GT 2,Oil_GT,Y,,,
Oil GT 3,Oil_GT,Y,,,
Oil GT 4,Oil_GT,Y,,,
Oil GT 5,Oil_GT,Y,,,
Oil Steam 1,Oil_Steam,Y,,,
Oil Steam 2,Oil_Steam,Y,,,
Oil Steam 3,Oil_Steam,Y,,,
Oil Steam 4,Oil_Steam,Y,,,
Oil Steam 5,Oil_Steam,Y,,,
Refurbishment Coal Subcritical Lignite,Coal_Subcritical_Lignite,Y,,,
Refurbishment Coal Subcritical Steam,Coal_Subcritical_Hard,Y,,,
Refurbishment Coal Supercritical Lignite,Coal_Subcritical_Lignite,Y,,,
Refurbishment Coal Supercritical Steam,Coal_Subcritical_Hard,Y,,,
Refurbishment Gas CCGT,Gas_CCGT,Y,,,
Refurbishment Gas GT,Gas_GT,Y,,,
Refurbishment Gas Steam,Gas_Steam,Y,,,
Refurbishment Oil GT,Oil_GT,Y,,,
Refurbishment Oil Steam,Oil_Steam,Y,,,
Solar CSP,Solar_CSP,Y,,,
Solar PV Buildings,Solar_PV_Buildings,Y,,,
Solar PV Utility,Solar_PV_Utility,Y,,,
Battery,Battery_utility_4h,Y,,,
Co-located battery,Battery_distributed,Y,,,
Tide And Wave,Marine,Y,,,
Waste to Energy,Waste,Y,,,
Wind Offshore,Wind_Offshore,Y,,,
Wind Onshore,Wind_Onshore,Y,,,
Shed1h,,Y,,,
Shed4h,,Y,,,
Shed10h,,Y,,,
Hydro Pumpback PSH,Hydro_Pumpback_PSH,Y,,,
Hydro Pumpback Conv,Hydro_Pumpback_Conv,Y,,,
Installed capacity stand alone battery,Battery_utility_4h,Y,,,
